"행정구역","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"강원특별자치도 영월군 북면(5175033000)","1,053","1,053","19","37","42","52","89","213","359","166","70","6","0","980","980","20","40","52","38","49","181","243","184","152","21","0"
"강원특별자치도 영월군 남면(5175034000)","1,136","1,136","8","40","66","53","103","224","357","201","76","7","1","990","990","9","40","43","22","55","165","302","172","143","37","2"
"강원특별자치도 영월군 한반도면(5175035500)","625","625","18","23","43","28","53","128","192","90","50","0","0","539","539","20","18","23","33","31","98","157","82","67","10","0"
"강원특별자치도 영월군 한반도면쌍용출장소(5175035900)","834","834","26","19","43","55","89","160","221","133","77","9","2","722","722","17","27","33","31","49","93","183","167","110","12","0"
"강원특별자치도 영월군 주천면(5175036000)","1,947","1,947","35","115","96","89","156","368","601","328","143","15","1","1,837","1,837","39","65","79","68","119","318","530","307","262","48","2"
"강원특별자치도 영월군 무릉도원면(5175038000)","1,091","1,091","20","41","34","38","76","203","384","217","70","8","0","1,015","1,015","15","37","29","40","61","155","358","195","106","19","0"
"강원특별자치도 평창군 (5176000000)","21,000","21,000","661","1,367","1,791","1,481","2,390","4,086","5,315","2,635","1,184","85","5","19,537","19,537","735","1,193","1,164","1,192","2,038","3,470","4,765","2,749","1,878","341","12"
"강원특별자치도 평창군 평창읍(5176025000)","4,285","4,285","143","330","420","342","450","813","1,012","523","227","24","1","4,050","4,050","171","318","267","271","470","697","890","516","375","72","3"
"강원특별자치도 평창군 미탄면(5176031000)","849","849","16","32","44","43","74","172","283","140","43","2","0","716","716","14","18","27","24","40","140","219","125","91","18","0"
"강원특별자치도 평창군 방림면(5176032000)","431","431","6","27","26","11","39","67","155","62","37","1","0","388","388","3","16","11","13","28","68","124","68","52","5","0"
"강원특별자치도 평창군 방림면계촌출장소(5176032500)","901","901","17","27","34","51","77","149","334","144","66","2","0","819","819","20","27","38","42","48","144","261","131","87","21","0"
